Wavenumber,Intensity,Class
697.5862,14.53998,0
698.0683,14.55245,0
698.5504,14.59472,0
699.0325,14.608,0
699.5146,14.5584,0
699.9968,14.50374,0
700.4789,14.54898,0
700.961,14.68155,0
701.4431,14.80031,0
701.9252,14.86967,0
702.4073,14.89182,0
702.8895,14.84193,0
703.3716,14.68772,0
703.8537,14.58984,0
704.3358,14.64169,0
704.8179,14.7127,0
705.3,14.71025,0
705.7822,14.60226,0
706.2643,14.51781,0
706.7464,14.45578,0
707.2285,14.42377,0
707.7106,14.44979,0
708.1927,14.50776,0
708.6749,14.46856,0
709.157,14.34251,0
709.6391,14.24664,0
710.1212,14.30184,0
710.6033,14.39093,0
711.0854,14.37502,0
711.5676,14.26933,0
712.0497,14.2335,0
712.5318,14.41772,0
713.0139,14.59984,0
713.496,14.65312,0
713.9781,14.57983,0
714.4603,14.57981,0
714.9424,14.69123,0
715.4245,14.795,0
715.9066,14.84026,0
716.3887,14.82753,0
716.8708,14.75144,0
717.353,14.61643,0
717.8351,14.51017,0
718.3172,14.49734,0
718.7993,14.53558,0
719.2814,14.59254,0
719.7635,14.65978,0
720.2457,14.69065,0
720.7278,14.6108,0
721.2099,14.54102,0
721.692,14.54804,0
722.1741,14.6014,0
722.6563,14.65186,0
723.1384,14.6993,0
723.6205,14.7473,0
724.1026,14.7868,0
724.5847,14.82694,0
725.0668,14.84565,0
725.549,14.83698,0
726.0311,14.85815,0
726.5132,14.95843,0
726.9953,15.11004,0
727.4774,15.26594,0
727.9595,15.42807,0
728.4417,15.57878,0
728.9238,15.70796,0
729.4059,15.78918,0
729.888,15.82662,0
730.3701,15.8412,0
730.8522,15.82413,0
731.3344,15.70034,0
731.8165,15.67039,0
732.2986,15.75841,0
732.7807,15.84619,0
733.2628,15.89351,0
733.7449,15.89945,0
734.2271,15.9077,0
734.7092,15.92727,0
735.1913,15.93972,0
735.6734,15.86709,0
736.1555,15.74916,0
736.6376,15.71062,0
737.1198,15.80408,0
737.6019,15.87107,0
738.084,15.75306,0
738.5661,15.55645,0
739.0482,15.4703,0
739.5303,15.60441,0
740.0125,15.70532,0
740.4946,15.66465,0
740.9767,15.54837,0
741.4588,15.54561,0
741.9409,15.68433,0
742.423,15.67799,0
742.9052,15.47037,0
743.3873,15.23981,0
743.8694,15.1272,0
744.3515,15.05594,0
744.8336,14.94256,0
745.3157,14.85272,0
745.7979,14.80526,0
746.28,14.79022,0
746.7621,14.78369,0
747.2442,14.79538,0
747.7263,14.81071,0
748.2084,14.77475,0
748.6906,14.65326,0
749.1727,14.53041,0
749.6548,14.42621,0
750.1369,14.37053,0
750.619,14.45357,0
751.1011,14.66137,0
751.5833,14.80784,0
752.0654,14.80037,0
752.5475,14.68373,0
753.0296,14.57021,0
753.5117,14.51825,0
753.9938,14.50732,0
754.476,14.48371,0
754.9581,14.4414,0
755.4402,14.47623,0
755.9223,14.60853,0
756.4044,14.72068,0
756.8865,14.73518,0
757.3687,14.61179,0
757.8508,14.53361,0
758.3329,14.55854,0
758.815,14.60216,0
759.2971,14.53475,0
759.7792,14.43055,0
760.2614,14.46871,0
760.7435,14.61993,0
761.2256,14.75162,0
761.7077,14.76181,0
762.1898,14.68748,0
762.6719,14.59961,0
763.1541,14.57248,0
763.6362,14.52583,0
764.1183,14.46951,0
764.6004,14.47245,0
765.0825,14.58237,0
765.5646,14.6328,0
766.0468,14.63491,0
766.5289,14.6309,0
767.011,14.63321,0
767.4931,14.64597,0
767.9752,14.65823,0
768.4573,14.63045,0
768.9395,14.61674,0
769.4216,14.75444,0
769.9037,14.9107,0
770.3858,14.87937,0
770.8679,14.70657,0
771.35,14.55448,0
771.8322,14.42254,0
772.3143,14.34519,0
772.7964,14.44548,0
773.2785,14.66669,0
773.7606,14.77204,0
774.2427,14.62769,0
774.7249,14.54191,0
775.207,14.57483,0
775.6891,14.60823,0
776.1712,14.50179,0
776.6533,14.38938,0
777.1354,14.38912,0
777.6176,14.48108,0
778.0997,14.56873,0
778.5818,14.62252,0
779.0639,14.68693,0
779.546,14.80386,0
780.0281,14.93527,0
780.5103,14.89295,0
780.9924,14.78731,0
781.4745,14.76777,0
781.9566,14.90341,0
782.4387,14.87107,0
782.9208,14.73557,0
783.403,14.62393,0
783.8851,14.61448,0
784.3672,14.69509,0
784.8493,14.77932,0
785.3314,14.78101,0
785.8135,14.71357,0
786.2957,14.67566,0
786.7778,14.70985,0
787.2599,14.72613,0
787.742,14.68069,0
788.2241,14.62934,0
788.7062,14.58637,0
789.1884,14.50226,0
789.6705,14.52233,0
790.1526,14.73069,0
790.6347,14.9397,0
791.1168,14.89332,0
791.5989,14.67736,0
792.0811,14.54168,0
792.5632,14.51282,0
793.0453,14.51084,0
793.5274,14.56102,0
794.0095,14.66424,0
794.4916,14.81514,0
794.9738,14.89379,0
795.4559,14.86728,0
795.938,14.71256,0
796.4201,14.57979,0
796.9022,14.5298,0
797.3843,14.5739,0
797.8665,14.57035,0
798.3486,14.49553,0
798.8307,14.45491,0
799.3128,14.55514,0
799.7949,14.73377,0
800.277,14.82451,0
800.7592,14.84059,0
801.2413,14.83453,0
801.7234,14.80108,0
802.2055,14.77338,0
802.6876,14.81894,0
803.1697,14.84442,0
803.6519,14.78673,0
804.134,14.71432,0
804.6161,14.66803,0
805.0982,14.62697,0
805.5803,14.52926,0
806.0624,14.51272,0
806.5446,14.59528,0
807.0267,14.62808,0
807.5088,14.53528,0
807.9909,14.41651,0
808.473,14.40813,0
808.9551,14.48736,0
809.4373,14.61196,0
809.9194,14.73498,0
810.4015,14.80129,0
810.8836,14.73733,0
811.3657,14.67674,0
811.8478,14.68211,0
812.33,14.69599,0
812.8121,14.70854,0
813.2942,14.7301,0
813.7763,14.7214,0
814.2584,14.61814,0
814.7405,14.48178,0
815.2227,14.46838,0
815.7048,14.55792,0
816.1869,14.65075,0
816.669,14.68526,0
817.1511,14.70017,0
817.6332,14.73731,0
818.1154,14.79362,0
818.5975,14.81844,0
819.0796,14.75742,0
819.5617,14.72549,0
820.0438,14.75706,0
820.5259,14.80246,0
821.0081,14.77113,0
821.4902,14.66417,0
821.9723,14.60948,0
822.4544,14.6294,0
822.9365,14.67472,0
823.4186,14.69015,0
823.9008,14.70115,0
824.3829,14.75458,0
824.865,14.87999,0
825.3471,14.94893,0
825.8292,14.85557,0
826.3113,14.73442,0
826.7935,14.67719,0
827.2756,14.68774,0
827.7577,14.76424,0
828.2398,14.93002,0
828.7219,15.06522,0
829.204,15.08132,0
829.6862,15.00774,0
830.1683,14.90012,0
830.6504,14.77351,0
831.1325,14.67378,0
831.6146,14.59779,0
832.0967,14.57743,0
832.5789,14.70976,0
833.061,14.92785,0
833.5431,15.00271,0
834.0252,14.82213,0
834.5073,14.68644,0
834.9894,14.6369,0
835.4716,14.67225,0
835.9537,14.75058,0
836.4358,14.84646,0
836.9179,14.84768,0
837.4,14.76991,0
837.8821,14.74453,0
838.3643,14.97641,0
838.8464,15.2514,0
839.3285,15.30093,0
839.8106,15.03269,0
840.2927,14.85455,0
840.7748,14.92942,0
841.257,15.0515,0
841.7391,15.10414,0
842.2212,15.07938,0
842.7033,14.99424,0
843.1854,14.85372,0
843.6675,14.7879,0
844.1497,14.89913,0
844.6318,15.07497,0
845.1139,15.14457,0
845.596,15.09067,0
846.0781,15.01751,0
846.5602,14.96926,0
847.0424,14.90357,0
847.5245,14.75529,0
848.0066,14.72394,0
848.4887,14.76358,0
848.9708,14.88642,0
849.4529,14.97864,0
849.9351,15.0981,0
850.4172,15.1887,0
850.8993,15.16797,0
851.3814,15.07406,0
851.8635,14.96075,0
852.3456,14.85581,0
852.8278,14.79543,0
853.3099,14.78244,0
853.792,14.77273,0
854.2741,14.89564,0
854.7562,15.1279,0
855.2383,15.24191,0
855.7205,15.17095,0
856.2026,15.16232,0
856.6847,15.18815,0
857.1668,15.18765,0
857.6489,15.13498,0
858.131,15.05194,0
858.6132,14.98254,0
859.0953,14.98583,0
859.5774,15.04397,0
860.0595,15.08012,0
860.5416,14.97496,0
861.0237,14.89554,0
861.5059,14.95062,0
861.988,15.10443,0
862.4701,15.19163,0
862.9522,15.10959,0
863.4343,15.01643,0
863.9164,14.99517,0
864.3986,15.07141,0
864.8807,15.13887,0
865.3628,15.15714,0
865.8449,15.11227,0
866.327,15.05916,0
866.8091,15.09946,0
867.2913,15.22644,0
867.7734,15.3125,0
868.2555,15.23629,0
868.7376,15.05384,0
869.2197,14.9493,0
869.7018,14.92689,0
870.184,14.95962,0
870.6661,15.04335,0
871.1482,15.1349,0
871.6303,15.16638,0
872.1124,15.1757,0
872.5945,15.24709,0
873.0767,15.28542,0
873.5588,15.24802,0
874.0409,15.18081,0
874.523,15.14516,0
875.0051,15.13036,0
875.4872,15.03845,0
875.9694,14.93536,0
876.4515,14.92417,0
876.9336,15.06269,0
877.4157,15.19133,0
877.8978,15.20588,0
878.3799,15.16187,0
878.8621,15.14487,0
879.3442,15.23153,0
879.8263,15.40203,0
880.3084,15.52666,0
880.7905,15.48185,0
881.2726,15.16892,0
881.7548,14.94208,0
882.2369,15.00399,0
882.719,15.26242,0
883.2011,15.42842,0
883.6832,15.31943,0
884.1653,15.16559,0
884.6475,15.10457,0
885.1296,15.14194,0
885.6117,15.22673,0
886.0938,15.28634,0
886.5759,15.30152,0
887.058,15.28723,0
887.5402,15.31514,0
888.0223,15.39222,0
888.5044,15.42948,0
888.9865,15.40706,0
889.4686,15.33495,0
889.9507,15.25943,0
890.4329,15.18498,0
890.915,15.17152,0
891.3971,15.26785,0
891.8792,15.38311,0
892.3613,15.43762,0
892.8434,15.44434,0
893.3256,15.41757,0
893.8076,15.31818,0
894.2897,15.24744,0
894.7719,15.23387,0
895.254,15.27971,0
895.7361,15.38259,0
896.2182,15.54441,0
896.7003,15.60532,0
897.1824,15.53059,0
897.6646,15.4231,0
898.1467,15.42824,0
898.6288,15.48281,0
899.1109,15.49023,0
899.593,15.4084,0
900.0751,15.32316,0
900.5573,15.30448,0
901.0394,15.33528,0
901.5215,15.34104,0
902.0036,15.29922,0
902.4857,15.28815,0
902.9678,15.33592,0
903.45,15.39104,0
903.9321,15.38545,0
904.4142,15.3589,0
904.8963,15.37992,0
905.3784,15.41419,0
905.8605,15.44324,0
906.3427,15.47958,0
906.8248,15.54695,0
907.3069,15.58229,0
907.789,15.57071,0
908.2711,15.59519,0
908.7532,15.69429,0
909.2354,15.74985,0
909.7175,15.71024,0
910.1996,15.61742,0
910.6817,15.51945,0
911.1638,15.3955,0
911.6459,15.31218,0
912.1281,15.3724,0
912.6102,15.48733,0
913.0923,15.58886,0
913.5744,15.54184,0
914.0565,15.4455,0
914.5386,15.25766,0
915.0208,15.21315,0
915.5029,15.33902,0
915.985,15.50704,0
916.4671,15.49791,0
916.9492,15.37231,0
917.4313,15.36193,0
917.9135,15.50159,0
918.3956,15.61542,0
918.8777,15.56166,0
919.3598,15.51009,0
919.8419,15.51403,0
920.324,15.53705,0
920.8062,15.53102,0
921.2883,15.48304,0
921.7704,15.4491,0
922.2525,15.47564,0
922.7346,15.51519,0
923.2167,15.45546,0
923.6989,15.35332,0
924.181,15.32059,0
924.6631,15.40946,0
925.1452,15.47384,0
925.6273,15.43027,0
